vendor,camera,sensor_name,aspect,fov,pixel_pitch,res_w,res_h,sensor_w_mm,sensor_h_mm,focal_length
RED,EPIC-W 8K,5K FF,1.8963,16.04,0.003650,5120,2700,18.69,9.86,35.00
RED,EPIC-W 8K,5K 2:1,2.0000,15.20,0.003650,5120,2560,18.69,9.34,35.00
RED,EPIC-W 8K,5K WS,2.3704,12.85,0.003650,5120,2160,18.69,7.88,35.00
RED,EPIC-W 8K,5K HD,1.7778,16.04,0.003650,4800,2700,17.52,9.86,35.00
RED,EPIC-W 8K,4.5K FF,1.9104,14.33,0.003650,4608,2412,16.82,8.80,35.00
RED,EPIC-W 8K,4.5K 2:1,2.0000,13.70,0.003650,4608,2304,16.82,8.41,35.00
RED,EPIC-W 8K,4.5K WS,2.3704,11.58,0.003650,4608,1944,16.82,7.10,35.00
RED,EPIC-W 8K,4.5K HD,1.8182,14.12,0.003650,4320,2376,15.77,8.67,35.00
RED,EPIC-W 8K,4K FF,1.8963,12.85,0.003650,4096,2160,14.95,7.88,35.00
RED,EPIC-W 8K,4K 2:1,2.0000,12.20,0.003650,4096,2048,14.95,7.48,35.00
RED,EPIC-W 8K,4K WS,2.3704,10.30,0.003650,4096,1728,14.95,6.31,35.00
RED,EPIC-W 8K,4K HD,1.7778,12.85,0.003651,3840,2160,14.02,7.88,35.00
RED,EPIC-W 8K,3.5K FF,1.9104,11.18,0.003650,3584,1876,13.08,6.85,35.00
RED,EPIC-W 8K,3.5K 2:1,2.0000,10.68,0.003650,3584,1792,13.08,6.54,35.00
RED,EPIC-W 8K,3.5K WS,2.3704,9.02,0.003650,3584,1512,13.08,5.52,35.00
RED,EPIC-W 8K,3.5K HD,1.7778,11.58,0.003649,3456,1944,12.61,7.10,35.00
RED,EPIC-W 8K,3K FF,1.8963,9.65,0.003649,3072,1620,11.21,5.91,35.00
RED,EPIC-W 8K,3K 2:1,2.0000,9.16,0.003649,3072,1536,11.21,5.61,35.00
RED,EPIC-W 8K,3K WS,2.3704,7.73,0.003649,3072,1296,11.21,4.73,35.00
RED,EPIC-W 8K,3K HD,1.7778,9.65,0.003649,2880,1620,10.51,5.91,35.00
RED,EPIC-W 8K,2.5K FF,1.9104,7.99,0.003648,2560,1340,9.34,4.89,35.00
RED,EPIC-W 8K,2.5K 2:1,2.0000,7.63,0.003648,2560,1280,9.34,4.67,35.00
RED,EPIC-W 8K,2.5K WS,2.3704,6.44,0.003648,2560,1080,9.34,3.94,35.00
RED,EPIC-W 8K,2.5K HD,1.7778,7.73,0.003650,2304,1296,8.41,4.73,35.00
